Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
43567433,08/16/2019 07:08:10 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11214,130 28 AVENUE,28 AVENUE,HARWAY AVENUE,CROPSEY AVENUE,HARWAY AVENUE,CROPSEY AVENUE,,BROOKLYN,28 AVENUE,,In Progress,,,,13 BROOKLYN,BROOKLYN,987865,153427,Unspecified,BROOKLYN,,,,,,,,40.58779707799605,-73.986984580962,"(40.58779707799605, -73.986984580962)"
39929435,08/05/2018 05:45:10 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11385,60-18 BLEECKER STREET,BLEECKER STREET,60 STREET,60 PLACE,60 STREET,60 PLACE,ADDRESS,RIDGEWOOD,,,In Progress,09/04/2018 05:45:10 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",08/06/2018 09:37:23 PM,05 QUEENS,QUEENS,1011004,198379,Unspecified,QUEENS,,,,,,,,40.71114082949542,-73.90349683673197,"(40.71114082949542, -73.90349683673197)"
43581937,08/19/2019 04:25:43 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,1-2 Family Dwelling,11201,40 WASHINGTON STREET,WASHINGTON STREET,WATER STREET,FRONT STREET,WATER STREET,FRONT STREET,,BROOKLYN,WASHINGTON STREET,,In Progress,,,,02 BROOKLYN,BROOKLYN,987133,195434,Unspecified,BROOKLYN,,,,,,,,40.70309748012414,-73.9896021157255,"(40.70309748012414, -73.9896021157255)"
39981128,08/10/2018 07:54:32 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,Residence,11433,150-25 113 AVENUE,113 AVENUE,SUTPHIN BOULEVARD,155 STREET,SUTPHIN BOULEVARD,155 STREET,ADDRESS,JAMAICA,,,In Progress,09/09/2018 07:54:32 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",08/13/2018 09:18:53 PM,12 QUEENS,QUEENS,1041354,189650,Unspecified,QUEENS,,,,,,,,40.68703800077405,-73.79409700774558,"(40.68703800077405, -73.79409700774558)"
39584158,06/27/2018 03:33:21 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10454,554 EAST 141 STREET,EAST 141 STREET,BROOK AVENUE,ST ANNS AVENUE,BROOK AVENUE,ST ANNS AVENUE,ADDRESS,BRONX,,,In Progress,07/27/2018 03:33:21 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",06/27/2018 09:11:51 PM,01 BRONX,BRONX,1007299,234034,Unspecified,BRONX,,,,,,,,40.809015036424476,-73.91673872522236,"(40.809015036424476, -73.91673872522236)"
18268999,07/15/2010 01:37:50 PM,08/06/2010 06:21:42 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11421,75-09 88 AVENUE,88 AVENUE,75 STREET,76 STREET,,,ADDRESS,WOODHAVEN,,N/A,Closed,08/14/2010 01:37:50 PM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,08/06/2010 06:21:42 PM,09 QUEENS,QUEENS,1021454,190467,Unspecified,QUEENS,,,,,,,,40.68938649448952,-73.86584686409115,"(40.68938649448952, -73.86584686409115)"
43594816,08/20/2019 04:48:10 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,1-2 Family Dwelling,10308,90 BALTIMORE STREET,BALTIMORE STREET,LINDENWOOD ROAD,COLON AVENUE,LINDENWOOD ROAD,COLON AVENUE,,STATEN ISLAND,BALTIMORE STREET,,In Progress,,,,03 STATEN ISLAND,STATEN ISLAND,941479,140094,Unspecified,STATEN ISLAND,,,,,,,,40.55109819409896,-74.15390788922704,"(40.55109819409896, -74.15390788922704)"
47679866,09/24/2020 03:51:02 PM,09/24/2020 03:51:02 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10306,72 WINHAM AVENUE,WINHAM AVENUE,NEW DORP LANE,CELTIC PLACE,NEW DORP LANE,CELTIC PLACE,ADDRESS,STATEN ISLAND,WINHAM AVENUE,,Closed,,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",09/24/2020 03:51:02 PM,02 STATEN ISLAND,STATEN ISLAND,955304,145453,Unspecified,STATEN ISLAND,,,,,,,,40.56586350599458,-74.10418276878461,"(40.56586350599458, -74.10418276878461)"
39627459,07/02/2018 10:35:48 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,Residence,11385,1639 CENTRE STREET,CENTRE STREET,WYCKOFF AVENUE,CYPRESS AVENUE,WYCKOFF AVENUE,CYPRESS AVENUE,ADDRESS,RIDGEWOOD,,,In Progress,08/01/2018 10:35:48 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/03/2018 07:35:51 PM,05 QUEENS,QUEENS,1010718,193312,Unspecified,QUEENS,,,,,,,,40.69723397450062,-73.90454836953231,"(40.69723397450062, -73.90454836953231)"
39630940,07/03/2018 12:37:22 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10302,9 COTTAGE PLACE,COTTAGE PLACE,BENNETT STREET,VREELAND STREET,BENNETT STREET,VREELAND STREET,ADDRESS,STATEN ISLAND,,,In Progress,08/02/2018 12:37:22 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/03/2018 07:35:50 PM,01 STATEN ISLAND,STATEN ISLAND,948068,171332,Unspecified,STATEN ISLAND,,,,,,,,40.636869450266026,-74.1303652468243,"(40.636869450266026, -74.1303652468243)"
39647378,07/05/2018 07:41:31 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10304,424 FLAGG PLACE,FLAGG PLACE,BEND,BEND,BEND,BEND,ADDRESS,STATEN ISLAND,,,In Progress,08/04/2018 07:41:31 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/10/2018 07:44:25 PM,02 STATEN ISLAND,STATEN ISLAND,953202,151728,Unspecified,STATEN ISLAND,,,,,,,,40.58308002567734,-74.11177712219242,"(40.58308002567734, -74.11177712219242)"
39681012,07/09/2018 07:22:58 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11222,627 HUMBOLDT STREET,HUMBOLDT STREET,DRIGGS AVENUE,NASSAU AVENUE,DRIGGS AVENUE,NASSAU AVENUE,ADDRESS,BROOKLYN,,,In Progress,08/08/2018 07:22:58 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/10/2018 07:44:26 PM,01 BROOKLYN,BROOKLYN,999450,202993,Unspecified,BROOKLYN,,,,,,,,40.72383254301686,-73.94516232230455,"(40.72383254301686, -73.94516232230455)"
18303005,07/20/2010 06:05:32 AM,08/06/2010 10:46:04 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11358,33-16 171 STREET,171 STREET,33 AVENUE,35 AVENUE,,,ADDRESS,FLUSHING,,N/A,Closed,08/19/2010 06:05:32 AM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,08/06/2010 10:46:04 AM,07 QUEENS,QUEENS,1041143,218745,Unspecified,QUEENS,,,,,,,,40.7668978250886,-73.7946118397153,"(40.7668978250886, -73.7946118397153)"
40253171,09/11/2018 07:23:47 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10304,424 FLAGG PLACE,FLAGG PLACE,BEND,BEND,BEND,BEND,ADDRESS,STATEN ISLAND,,,In Progress,10/11/2018 07:23:47 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,02 STATEN ISLAND,STATEN ISLAND,953202,151728,Unspecified,STATEN ISLAND,,,,,,,,40.58308002567734,-74.11177712219242,"(40.58308002567734, -74.11177712219242)"
40304676,09/17/2018 07:49:25 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10040,4500 BROADWAY,BROADWAY,WEST 192 STREET,WEST 193 STREET,WEST 192 STREET,WEST 193 STREET,ADDRESS,NEW YORK,,,In Progress,10/17/2018 07:49:25 AM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,12 MANHATTAN,MANHATTAN,1003080,251889,Unspecified,MANHATTAN,,,,,,,,40.85803185007194,-73.93192914204178,"(40.85803185007194, -73.93192914204178)"
40294992,09/16/2018 08:18:58 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,10040,4500 BROADWAY,BROADWAY,WEST 192 STREET,WEST 193 STREET,WEST 192 STREET,WEST 193 STREET,ADDRESS,NEW YORK,,,In Progress,10/16/2018 08:18:58 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,12 MANHATTAN,MANHATTAN,1003080,251889,Unspecified,MANHATTAN,,,,,,,,40.85803185007194,-73.93192914204178,"(40.85803185007194, -73.93192914204178)"
40295747,09/16/2018 12:57:20 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10040,4500 BROADWAY,BROADWAY,WEST 192 STREET,WEST 193 STREET,WEST 192 STREET,WEST 193 STREET,ADDRESS,NEW YORK,,,In Progress,10/16/2018 12:57:20 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",09/18/2018 09:25:38 PM,12 MANHATTAN,MANHATTAN,1003080,251889,Unspecified,MANHATTAN,,,,,,,,40.85803185007194,-73.93192914204178,"(40.85803185007194, -73.93192914204178)"
43627734,08/24/2019 12:28:00 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,1-2 Family Dwelling,10459,985 SIMPSON STREET,SIMPSON STREET,EAST  163 STREET,FIRE ACCESS LANE,EAST  163 STREET,FIRE ACCESS LANE,,BRONX,SIMPSON STREET,,In Progress,,,,02 BRONX,BRONX,1013898,238724,Unspecified,BRONX,,,,,,,,40.8218680838034,-73.8928800680145,"(40.8218680838034, -73.8928800680145)"
40051858,08/19/2018 10:56:17 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10031,516 WEST 136 STREET,WEST 136 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,,,In Progress,09/18/2018 10:56:17 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",08/20/2018 07:39:32 PM,09 MANHATTAN,MANHATTAN,997292,238045,Unspecified,MANHATTAN,,,,,,,,40.82004454841862,-73.95287980338107,"(40.82004454841862, -73.95287980338107)"
40053683,08/19/2018 05:23:52 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10031,517 WEST 135 STREET,WEST 135 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,,,In Progress,09/18/2018 05:23:52 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,09 MANHATTAN,MANHATTAN,997279,237755,Unspecified,MANHATTAN,,,,,,,,40.819248599431575,-73.95292733486443,"(40.819248599431575, -73.95292733486443)"
40053691,08/19/2018 05:27:15 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10031,516 WEST 136 STREET,WEST 136 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,,,In Progress,09/18/2018 05:27:15 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,09 MANHATTAN,MANHATTAN,997292,238045,Unspecified,MANHATTAN,,,,,,,,40.82004454841862,-73.95287980338107,"(40.82004454841862, -73.95287980338107)"
40072613,08/21/2018 07:21:59 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,10027,151 WEST 132 STREET,WEST 132 STREET,LENOX AVENUE,7 AVENUE,LENOX AVENUE,7 AVENUE,ADDRESS,NEW YORK,,,In Progress,09/20/2018 07:21:59 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",08/22/2018 08:06:49 PM,10 MANHATTAN,MANHATTAN,999841,235408,Unspecified,MANHATTAN,,,,,,,,40.812802592914096,-73.94367650201875,"(40.812802592914096, -73.94367650201875)"
40093730,08/24/2018 04:34:36 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11218,1441 36 STREET,36 STREET,14 AVENUE,15 AVENUE,14 AVENUE,15 AVENUE,ADDRESS,BROOKLYN,,,In Progress,09/23/2018 04:34:36 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",08/28/2018 07:36:14 PM,12 BROOKLYN,BROOKLYN,989420,172593,Unspecified,BROOKLYN,,,,,,,,40.640403016669204,-73.9813712958554,"(40.640403016669204, -73.9813712958554)"
43642062,08/26/2019 03:32:09 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10460,1544 BOONE AVENUE,BOONE AVENUE,EAST  172 STREET,EAST  173 STREET,EAST  172 STREET,EAST  173 STREET,,BRONX,BOONE AVENUE,,In Progress,,,,03 BRONX,BRONX,1016046,242784,Unspecified,BRONX,,,,,,,,40.83300414504089,-73.88509998774944,"(40.83300414504089, -73.88509998774944)"
40152690,08/30/2018 03:03:20 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Monkey,Residence,10306,441 CLARKE AVENUE,CLARKE AVENUE,COURT PLACE,TYSEN COURT,COURT PLACE,TYSEN COURT,ADDRESS,STATEN ISLAND,,,In Progress,09/29/2018 03:03:20 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",09/04/2018 07:39:09 PM,03 STATEN ISLAND,STATEN ISLAND,943731,147363,Unspecified,STATEN ISLAND,,,,,,,,40.571060744555,-74.14584782047392,"(40.571060744555, -74.14584782047392)"
40167655,09/01/2018 07:02:52 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11226,672 OCEAN AVENUE,OCEAN AVENUE,ALBEMARLE ROAD,REGENT PLACE,ALBEMARLE ROAD,REGENT PLACE,ADDRESS,BROOKLYN,,,In Progress,10/01/2018 07:02:52 AM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,14 BROOKLYN,BROOKLYN,995258,174805,Unspecified,BROOKLYN,,,,,,,,40.64646914853235,-73.96033202619999,"(40.64646914853235, -73.96033202619999)"
43287197,07/15/2019 12:09:31 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,10019,301 WEST   53 STREET,WEST   53 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,,NEW YORK,WEST   53 STREET,,In Progress,,,,04 MANHATTAN,MANHATTAN,988362,217753,Unspecified,MANHATTAN,,,,,,,,40.76435715460628,-73.98515593959957,"(40.76435715460628, -73.98515593959957)"
40242617,09/10/2018 03:04:02 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10304,424 FLAGG PLACE,FLAGG PLACE,BEND,BEND,BEND,BEND,ADDRESS,STATEN ISLAND,,,In Progress,10/10/2018 03:04:02 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",09/11/2018 08:48:59 PM,02 STATEN ISLAND,STATEN ISLAND,953202,151728,Unspecified,STATEN ISLAND,,,,,,,,40.58308002567734,-74.11177712219242,"(40.58308002567734, -74.11177712219242)"
